,CELEBRITY,PIC
0,Ananya Panday,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
1,Tara Sutaria,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
2,Janhvi Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
3,Alanna Panday,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
4,Tamannaah Bhatia,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
5,Prabhas,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
6,Sara Ali Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
7,Salman Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
8,Ajay Devgn,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
9,Sidharth Malhotra,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
10,Varun Dhawan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
11,Aamir Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
12,Shraddha Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
13,Anushka Sharma,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
14,Sonakshi Sinha,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
15,Arjun Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
16,Sushant Singh Rajput,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
17,Alia Bhatt,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
18,Sunny Leone,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
19,Hrithik Roshan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
20,Ranbir Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
21,Ranveer Singh,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
22,Priyanka Chopra,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
23,Kareena Kapoor Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
24,Katrina Kaif,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
25,Deepika Padukone,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
26,Shah Rukh Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
27,Shahid Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
28,Parineeti Chopra,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
29,Kangana Ranaut,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
30,Tiger Shroff,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
31,Abhishek Bachchan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
32,Farhan Akhtar,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
33,Akshay Kumar,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
34,Diljit Dosanjh,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
35,Saif Ali Khan,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
36,Aditya Roy Kapur,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
37,Taapsee Pannu,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
38,Ankita Lokhande,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
39,Kriti Sanon,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
40,Vicky Kaushal,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
41,Ayushmann Khurrana,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
42,Mouni Roy,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
43,Sonam Kapoor,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
44,Rajkummar Rao,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
45,Disha Patani,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
46,Nakuul Mehta,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
47,Rakul Preet Singh,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
48,Kiara Advani,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
49,John Abraham,https://st1.bollywoodlife.com/assets/images/img1x1.jpg
